Report Number,Local Case Number,ACRS Report Type,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Speed Limit,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian At Fault
MCP3196003G,220038150,Injury Crash,MACHINE OPERATOR/RIDER,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,MACHINE OPERATOR/RIDER,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,No Information,DARK CLOTHING,Yes
MCP3331000B,220037205,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP3331000B,220037205,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP3119003N,220036233,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP30260083,220037721,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,OTHER,OTHER,REFLECTIVE MATERIAL,No
MCP30190054,220035166,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP29730066,220038512,Injury Crash,BICYCLIST,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, RAIN, SNOW",UNKNOWN,25,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP3160003T,220038488,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,15,BICYCLIST,No Information,NO IMPROPER ACTIONS,SHOULDER,No Information,LIGHT CLOTHING,No
MCP32950021,220038285,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,DARK CLOTHING,No
MCP31610044,220037550,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2934004Z,220037915,Property Damage Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,OTHER,LIGHT CLOTHING,No
MCP2440000X,220038190,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Other,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,No Information,DARK CLOTHING,No
MCP2919001H,16021979,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,No Information,No
MCP26660028,180022518,Injury Crash,PEDESTRIAN,UNKNOWN,UNKNOWN,Yes,NO APPARENT INJURY,No Information,UNKNOWN,10,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No
MCP3160000V,180056359,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2664002Y,17012580,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,UNKNOWN,No
MCP27850028,17002220,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
EJ7781001G,180048664,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,PEDESTRIAN,Getting off/on Vehicle,NO IMPROPER ACTIONS,OTHER,No Information,No Information,No
MCP9419001S,180043414,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Other Working,No Information,ON ROADWAY NOT AT CROSSWALK,No Information,REFLECTIVE MATERIAL,Yes
MCP12210020,16007046,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,OTHER CELLULAR PHONE RELATED,15,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP12210020,16007046,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,OTHER CELLULAR PHONE RELATED,15,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2844001W,16063618,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,15,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2398001D,17016355,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, RAIN, SNOW",LOOKED BUT DID NOT SEE,15,PEDESTRIAN,Other Working,OTHER,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Unknown
DD5606003W,16058724,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,No,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,INATTENTIVE,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
MCP2785001C,16018657,Injury Crash,PEDESTRIAN,No Information,No Information,Unknown,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Other,INATTENTIVE,OTHER,No Information,MIXED CLOTHING,Unknown
DD5595002X,16042686,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,UNKNOWN,Yes
MCP1575003M,16009252,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Other,OTHER,OTHER,NO PED. SIGNAL,DARK CLOTHING,No
DD55900014,170534938,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,No Information,MIXED CLOTHING,No
MCP29820012,16042990,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,CURB,NO PED. SIGNAL,MIXED CLOTHING,No
MCP29730017,16015925,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP26670021,16000550,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP137800H6,170513692,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,50,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP1580003H,15029144,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No Information
MCP25630009,15064811,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,40,PEDESTRIAN,Unknown,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,Unknown
MCP2456001C,16059594,Injury Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,SUSPECTED MINOR INJURY,No Information,UNKNOWN,25,OTHER,Other,NO IMPROPER ACTIONS,SIDEWALK,No Information,No Information,No
MCP2456001C,16059594,Injury Crash,OTHER,NONE DETECTED,NONE DETECTED,No,POSSIBLE INJURY,No Information,NOT DISTRACTED,25,OTHER,Other,NO IMPROPER ACTIONS,SIDEWALK,No Information,No Information,No
EJ78700015,190006315,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP2703001S,170537660,Injury Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,BICYCLIST,Walking/Riding against Traffic,NO IMPROPER ACTIONS,CURB,No Information,MIXED CLOTHING,No
MCP1573000V,16015612,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2864002P,170502137,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2378000P,16041783,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,BICYCLIST,Walking/Riding w/Traffic,FAILURE TO YIELD RIGHT OF WAY,AT INTERSECTION MARKED CROSSWALK,No Information,MIXED CLOTHING,Yes
MCP0973000W,180053691,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
MCP1123001M,170531903,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,BICYCLIST,Walking/Riding w/Traffic,OTHER,OTHER,No Information,UNKNOWN,Yes
EJ7846001D,16028029,Injury Crash,PEDESTRIAN,NONE DETECTED,ALCOHOL CONTRIBUTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2588001V,16049667,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,No Information,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP2812003Q,180042390,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter not at Intersection,NOT VISIBLE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2727001X,170551332,Injury Crash,PEDESTRIAN,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP2600001F,15055481,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
MCP1151002C,15006874,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No Information
MCP3048004B,180059044,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2385000P,16012022,Injury Crash,OTHER CONVEYANCE,ALCOHOL CONTRIBUTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,OTHER CONVEYANCE,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP13660064,170502538,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
DD5601000H,15001410,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,No Information
DD5624001M,180056733,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,UNKNOWN,Unknown
MCP9417000Y,15054976,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",NOT DISTRACTED,25,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,REFLECTIVE MATERIAL,No
MCP271700H3,180020211,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2987000Q,16023118,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Standing,NOT VISIBLE,OTHER,No Information,MIXED CLOTHING,Yes
MCP2398000J,15044798,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2411001G,170542300,Injury Crash,BICYCLIST,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,BICYCLIST,Walking/Cycling on Sidewalk,NOT VISIBLE,SIDEWALK,No Information,DARK CLOTHING,No
MCP2944000J,15025733,Injury Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,POSSIBLE INJURY,No Information,NOT DISTRACTED,5,OTHER,No Information,NO IMPROPER ACTIONS,No Information,No Information,No Information,No Information
MCP2934001B,16003635,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,10,PEDESTRIAN,Standing,No Information,OTHER,NO PED. SIGNAL,DARK CLOTHING,No
MCP3044002N,180026578,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,BICYCLIST,Other,NO IMPROPER ACTIONS,OTHER,No Information,UNKNOWN,No
MCP3112000T,180043077,Injury Crash,PEDESTRIAN,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,0,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,No Information,No Information,LIGHT CLOTHING,No
MCP3188000F,190017640,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Walking/Riding against Traffic,No Information,UNKNOWN,No Information,No Information,Yes
MCP00360058,16052787,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,SUSPECTED MINOR INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,SIDEWALK,No Information,MIXED CLOTHING,No
MCP3035000Y,17015128,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,PEDESTRIAN,Playing,DART DASH,SHOULDER,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP21210015,170537380,Property Damage Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,0,OTHER,Other,No Information,INSIDE BUILDING,No Information,No Information,No
DD56100032,170522986,Injury Crash,BICYCLIST,No Information,No Information,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,LIGHT CLOTHING,Unknown
MCP23480018,16000640,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP29910009,16000507,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,UNKNOWN,OBEYED PED. SIGNAL,No Information,No
MCP28500016,180048206,Injury Crash,PEDESTRIAN,ALCOHOL PRESENT,No Information,Yes,NO APPARENT INJURY,"N/A, WET",SMOKING RELATED,35,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP28500016,180048206,Injury Crash,PEDESTRIAN,ALCOHOL PRESENT,No Information,Yes,NO APPARENT INJURY,"N/A, WET",SMOKING RELATED,35,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP28500016,180048206,Injury Crash,PEDESTRIAN,ALCOHOL PRESENT,No Information,Yes,NO APPARENT INJURY,"N/A, WET",SMOKING RELATED,35,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP1170001R,170503352,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,15,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP2796002C,15056537,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP2723001H,16021617,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,UNKNOWN,Yes
MCP0961000N,15007939,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No Information
MCP27880018,170536709,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Walking/Riding w/Traffic,UNKNOWN,SHOULDER,NO PED. SIGNAL,DARK CLOTHING,No
MCP2974001L,180002145,Injury Crash,PEDESTRIAN,ILLEGAL DRUG PRESENT,ALCOHOL PRESENT,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP21160070,170527771,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,PEDESTRIAN,Unknown,NO IMPROPER ACTIONS,UNKNOWN,No Information,REFLECTIVE MATERIAL,Yes
MCP27650028,16023211,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
DD56100023,16055305,Injury Crash,OTHER,No Information,No Information,Yes,POSSIBLE INJURY,"N/A, WET",UNKNOWN,20,OTHER,No Information,No Information,No Information,No Information,No Information,No
MCP2991002C,180002185,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Other,NO IMPROPER ACTIONS,No Information,No Information,MIXED CLOTHING,No
HA24110009,17001331,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Walking/Riding w/Traffic,UNKNOWN,SHOULDER,No Information,MIXED CLOTHING,No
MCP28820023,170525535,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,BICYCLIST,Playing,INATTENTIVE,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP28820023,170525535,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,BICYCLIST,Playing,INATTENTIVE,OTHER,No Information,MIXED CLOTHING,Yes
HA24010008,15000376,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,No Information,OBEYED PED. SIGNAL,LIGHT CLOTHING,No Information
EJ78600020,190009244,Injury Crash,PEDESTRIAN,NONE DETECTED,ALCOHOL PRESENT,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2687001X,170501117,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,0,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP94390002,15017410,Injury Crash,PEDESTRIAN,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No Information
MCP2987002Q,170547567,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, RAIN, SNOW",UNKNOWN,40,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,UNKNOWN,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
MCP28510019,15048076,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
